Year,Publication Date,Headline,Snippet,Section Name,Type of Material
2005,16-Jul-05,World Briefing | Americas: Venezuela: Protest Against Cuban Doctors,"Hundreds of doctors protested in Caracas, saying their jobs were in danger because of a government program that has brought in 20,000 Cuban doctors and dentists. The Cuban doctors are popular in poor neighborhoods, where health care had been rare,...",World,News
2005,17-Aug-05,160 Die in Crash of Airliner in Venezuela,"A chartered airliner carrying vacationing French passengers home to Martinique crashed in Venezuela, killing all 160 people aboard.",World,News
2005,18-Aug-05,World Briefing | Americas: Venezuela: Crash Victims Recovered,Recovery teams located the bodies of almost all of the 160 people on board a West Caribbean Airways plane that crashed in a mountainous region of Venezuela on Tuesday. It was still not known what caused the twin-engine failure of the Colombian MD-82...,World,News
2005,18-Aug-05,World Briefing | Americas: Venezuela: Deportation For 16 Colombian Plot Suspects,"Venezuela is preparing to deport 16 of 133 Colombians arrested outside Caracas last year who President Hugo Chavez charged were paramilitary soldiers plotting to kill him. Dario Angarita, the Colombian consul in Caracas, said the 16 were among 33...",World,News
2005,27-Aug-05,Venezuela Will Tighten Rules On Admitting Foreign Preachers,The country temporarily suspended permits for foreign missionaries four days after evangelist Pat Robertson called for the assassination of President Hugo Chavez.,World,News
2005,23-Sep-05,World Business Briefing | Americas: Venezuela: Mining Investigation,"The National Assembly of Venezuela will open an investigation into mining companies operating in the country, after a vow by President Hugo Chavez to regain control of the industry. Deputy Pedro Jimenez Flores said in a statement on the National...",Business,News
2005,28-Sep-05,World Business Briefing | Americas: Venezuela: Mining Contract Reviews,"Venezuela's new state mining company will start operations on Jan. 1, taking over inactive mining concessions as part of a government overhaul of the industry. Victor Alvarez, minister of heavy industries and mining, said in a television interview...",Business,News
2005,5-Oct-05,World Briefing | Americas: Venezuela: Government To Make 'Bolivarian Computers',"The Bolivarian Republic of Venezuela, named for President Hugo Chavez's guiding light, the 19th-century liberator Simon Bolivar, will soon be building its own computers, to be called Bolivarian computers. The computers will be made by a new state...",Technology; World,News
2005,26-Oct-05,World Briefing | Americas: Venezuela: 30 Convicted Of Plotting To Kill Chavez,"Seventeen months after the authorities arrested dozens of Colombians at a ranch outside Caracas and accused them of belonging to paramilitary groups, a military court sentenced 27 of them to six years in prison for participating in what the...",World,News
2005,26-Oct-05,Mormon Church Withdraws Its Missionaries in Venezuela,"Amid rising tensions in Venezuela between President Hugo Chavez and various religious orders, the Utah-based Mormon Church has withdrawn all 220 of its American missionaries from the country, a spokesman at the church's headquarters in Salt Lake...",World,News
2005,26-Oct-05,Astros Sharing Their Wealth From Venezuela,"What do Johan Santana, Melvin Mora, Carlos Guillen, Bobby Abreu and Chicago's Game 4 starter, Freddy Garcia, have in common? The Houston Astros signed all of them out of Venezuela, but only Abreu (for 74 games) played for the team.     ''Houston has...",Sports,News
2005,28-Oct-05,A Triumph for Guillen Brings Joy to Venezuela,Chicago White Sox manager Ozzie Guillen is the first Venezuelan to manage a World Series-winning team and a national hero in his home country.,Sports,News
2005,30-Oct-05,Chavez Restyles Venezuela With '21st-Century Socialism',"President Hugo Chavez is moving fast to transform Venezuela's economy by founding state companies, seizing abandoned private factories and establishing thousands of cooperatives.",World,News
2005,4-Nov-05,Venezuela Threatens to Defy U.S. on Planes,"Unable to get spare parts for a fleet of American-made F-16 fighter planes, Venezuelan President Hugo Chavez has warned that he is prepared to give the planes to Cuba and China and replace them with Russian and Chinese aircraft.     ''We can do...",World; Washington,News
2005,4-Nov-05,World Briefing | Americas: Venezuela: Some Parties To Boycott Elections,"Battered by President Hugo Chavez's growing hold on power, a group of opposition politicians announced that they planned to boycott the Dec. 4 elections for all 167 seats in Congress.",World,News
2005,23-Nov-05,Oil Deal With Venezuela,"Two nonprofit Massachusetts energy groups signed an agreement on Tuesday with Citgo, the American subsidiary of Venezuela's state-owned oil company, to provide discounted home heating oil this winter to thousands of low-income state residents.     ...",,News
2005,27-Nov-05,"Amid the Turmoil of Caracas, Finding Serenity","On the northern edge of Caracas, Venezuela, Avila National Park is a verdant wall that makes the noise and pollution, the crime and commotion of the city worth the hassle.",Travel,News
2005,29-Nov-05,World Briefing | Americas: Venezuela: $2 Billion Arms Deal With Spain,"Snubbing American concerns, President Hugo Chavez signed a $2 billion arms deal with Spain to buy 8 patrol boats and 12 military transport and patrol planes. His government is also seeking to obtain combat aircraft from Brazil and 100,000 assault...",World; Washington,News
2005,2-Dec-05,World Briefing | Americas: Venezuela: Election Boycott Widens,A fourth opposition party withdrew from elections on Sunday for all 167 seats in the National Assembly. The move caused supporters of President Hugo Chavez to demonstrate in Caracas and accuse the United States of orchestrating the boycott. The...,World; Washington,News
2005,7-Dec-05,Gesture From Venezuela Heats the Bronx,"In a gesture combining generosity and high theater, a subsidiary of Venezuela's state-owned oil company will offer discounts to low-income residents in the Bronx.",New York and Region,News
2005,7-Dec-05,World Briefing | Americas: Venezuela: Monitors Say Distrust Fed Low Turnout,"Two days after allies of President Hugo Chavez swept all 167 seats in congressional elections, monitors from the European Union and the Organization of American States said the elections were fair but marked by a deep distrust that led to voter...",World,News
2005,8-Dec-05,South American Trade Bloc Moves to Admit Venezuela,"Presidents and ministers from Mercosur, South America's biggest trade bloc, will meet Thursday and Friday to begin the process of granting membership to Venezuela.",Business,News
2005,10-Dec-05,World Briefing | Americas: Venezuela: Chavez Sees More Plots,"President Hugo Chavez, who repeatedly accuses the Bush administration of plotting to assassinate him, turned his ire against election monitors from the Organization of American States and the European Union, whom he accused of plotting against...",World,News
2005,15-Dec-05,World Briefing | Americas: Venezuela: Union Leader Guilty Of Treason,"Carlos Ortega, who helped lead a strike that shuttered the oil industry, was sentenced to 16 years in prison.",World,News
2005,22-Dec-05,World Briefing | Americas: Venezuela: 3 Convictions In Bombing,"Two brothers who are former policemen and their cousin were convicted in the death of a prosecutor, Danilo Anderson, who was investigating opponents of President Hugo Chavez when he was killed by a bomb a year ago. Rolando and Otoniel Guevara, the...",World,News
2005,31-Dec-05,Venezuela Broadens Trading Into Euros,"Venezuela said that it would start to buy and sell euros in addition to dollars, broadening its currency operations.",Business,News
2006,11-Jan-06,World Briefing | Americas: Venezuela: Chavez Says U.S. Blocks Warplane Sale,President Hugo Chavez accused the United States of blocking a sale of Brazilian military training planes to his government and said he could turn to China instead to purchase warplanes. Brazil needs United States approval for the sale because the...,World,News
2006,14-Jan-06,U.S. Bars Spain's Sale of Planes To 'Antidemocratic' Venezuela,"The United States will not allow Spain to sell military aircraft with American technology to Venezuela, the American Embassy announced Friday.",World; Washington,News
2006,28-Jan-06,World Briefing | Americas: Venezuela: U.S. Embassy Accused Of Spying,"The government charged American Embassy officials of spying, saying that dissident Venezuelan military officers had been passing on state secrets. The accusation, by Vice President Josê© Vicente Rangel, comes in the midst of the World Social Forum in...",World,News
2006,4-Feb-06,World Briefing | Americas: Venezuela: U.S. To Expel Diplomat,"A day after Venezuela expelled the American naval attache in Caracas, accusing him of spying, the United States responded by ordering the expulsion of a senior diplomat in the Venezuelan Embassy in Washington. ''We don't like to get into tit-for-tat...",World; Washington,News
2006,7-Feb-06,World Business Briefing | Americas: Venezuela: Chavez Warning On Refineries,President Hugo Chavez said in a speech to supporters that he would shut Venezuela's refineries in the United States if Washington cuts off ties with the South American nation or attempts to invade the country. ''It wouldn't cost me anything to shut...,Business,News
2006,21-Feb-06,World Briefing | Americas: Venezuela: Chavez Considers End To Presidential Term Limits,"A day after President Hugo Chavez announced that he might seek a constitutional change so he could govern well into the 21st century, the attorney general, Isaias Rodriguez, played down the comments, asking citizens to consider the president's...",World,News
2006,23-Feb-06,"From Venezuela, a Serious Exodus to a Tango, Boldly Lit",Danzahoy was more dogged than enlivening for its Tuesday night performance at the Joyce Theater.,Arts,Review
2006,25-Feb-06,"Responding to U.S. Restrictions, Venezuela Will Reduce Flights by American Carriers","In its latest political dispute with the U.S., Venezuela's populist government has announced that it is unilaterally reducing flights by American-owned airlines starting March 1.",Business; Washington,News
2006,27-Feb-06,Venezuela Cautions U.S. It May Curtail Oil Exports,"In blunt comments published in a Caracas newspaper, Venezuela's oil minister warned that the country could steer oil exports away from the U.S. and toward other markets.",World,News
2006,1-Mar-06,Venezuela Conquers Caribbean and Eyes Its Classic Moment,"Although the Dominican Republic still has twice as many players in Major League Baseball, Venezuela is moving up quickly producing the best baseball talent in Latin America.",Sports,News
2006,3-Mar-06,"World Business Briefing | Americas: Venezuela: Royalties Must Be Paid In Crude, Not Cash","Venezuela, the world's fifth-largest oil exporter, is demanding that the country's four heavy-oil joint ventures pay their royalties in crude rather than in cash. ''We can gain a lot more'' with this kind of payment, the energy and oil minister,...",Business,News
2006,9-Mar-06,"Venezuela Wins, but Manager Fields Plenty of Bad Hops","Venezuela Manager Luis Sojo, the former Yankee infielder, said the news media and fans have been piling on about virtually every aspect of his job.",Sports,News
2006,9-Mar-06,World Briefing | Americas: Venezuela: Official Horse Takes A Turn Left,"Venezuela's coat of arms, detail left, which featured a horse striding to the right, has been changed to show the horse running to the left, the direction President Hugo Chavez's populist government has taken with its social programs and...",World,News
2006,13-Mar-06,"With Its Swagger Back, Cuba Whips Venezuela","Omar Vizquel missed a double play opportunity and gave up an additional out on a fielder's choice, and Cuba capitalized in a 7-2 victory over Venezuela.",Sports,News
2006,15-Mar-06,World Briefing | Americas: Venezuela: U.S. Warns Of Reprisal In Threat To Curb Flights,"If President Hugo Chavez's government goes through with plans to suspend flights by American carriers, the United States will retaliate with a similar ban, the American ambassador in Venezuela, William Brownfield, said. Venezuela's civil aviation...",World,News
2006,21-Mar-06,Visitors Seek a Taste of Revolution in Venezuela,President Hugo Chavez is drawing a following from all over and turning Caracas into the new leftist mecca.,World; Front Page,News
2006,23-Mar-06,World Business Briefing | Americas: Venezuela: Exxon Mobil Stops Production At Oil Field,"The Exxon Mobil Corporation is moving to temporarily halt production at a Venezuelan oil field amid problems in getting the state oil company to transport crude being pumped there to market, the company said. Closing the field, called La Ceiba, is...",Business,News
2006,24-Mar-06,World Briefing | Americas: Venezuela: Threat To Curb U.S. Flights Suspended,"Venezuela has suspended a threat to end flights by Delta and Continental and reduce those by American Airlines after the government and the United States agreed to hold talks, the American ambassador, William Brownfield, said. Venezuela wants the...",World,News
2006,4-Apr-06,Venezuela Seizes Control of Two Oil Fields,"Venezuela took over fields from Total and Eni, just days after the energy minister publicly said Exxon Mobil was not welcome.",Business,News
2006,7-Apr-06,World Briefing | Americas: Venezuela: Protests Follow A String Of Killings,"Journalists, students and others blocked roads in Caracas, the capital, protesting the killing of three Canadian-Venezuelan brothers, ages 12 to 17, who were found dead late Tuesday. They were kidnapped Feb. 23 by men dressed as police officers. The...",World,News
2006,8-Apr-06,World Briefing | Americas: Venezuela: Suspects In Fatal Kidnapping Detained,"Authorities detained three suspects allegedly involved in the murders that incited protests this week in Caracas, the capital. Three Canadian-Venezuelan brothers, ages 12 to 17, and their chauffeur were found dead late Tuesday. Men dressed as police...",World,News
2006,9-May-06,World Business Briefing | Americas: Venezuela: More Oil Production Taxes Proposed,"Venezuela plans to raise oil taxes on companies including the Exxon Mobil Corporation and ConocoPhillips as President Hugo Chavez, left, demands a greater share of surging oil industry profit. All oil companies operating in the country will be...",Business,News
2006,12-May-06,World Briefing | Americas: Venezuela: Pope Takes On Chavez,"Pope Benedict XVI registered a long list of complaints in a Vatican meeting with President Hugo Chavez of Venezuela, who has been at odds with Catholic leadership despite his own deeply professed faith. In the 35-minute meeting, the pope raised...",World,News
2006,13-May-06,Bolivia and Venezuela Are Chided at European Gathering,"Walking a diplomatic tightrope, several European and Latin American leaders criticized Bolivia and Venezuela for their hostile treatment of foreign investors.",Business,News
2006,17-May-06,2 in Venezuela Clash Over Sale of F-16's,"Venezuela's military is considering selling its fleet of American-made F-16 fighter jets to another country, possibly Iran.",World,News
2006,25-May-06,Venezuela Seeks 60 Percent Stake in Oil Ventures,"Venezuela, the world's fifth-largest crude oil exporter, said it would seek a controlling 60 percent stake in four heavy oil ventures run by foreign companies, including Exxon Mobil and ConocoPhillips, in its latest move to carve out a bigger share...",Business Day,Blog
2006,30-May-06,Venezuela Seeks to Cut Oil Output,"Most delegates to this week's OPEC meeting are expected to nod politely to Venezuela's calls for output cuts, while doing the opposite.",Business,News
2006,1-Jun-06,"For Venezuela, A Treasure In Oil Sludge; As Prices Soar, the Orinoco Belt Becomes an Economic Battleground","As oil prices soar, Venezuela's Orinoco Belt, which may contain up to 235 billion barrels of recoverable oil, is becoming an economic battleground.",Business,News
2006,2-Jun-06,OPEC Rejects Output Cuts Requested By Venezuela,"OPEC rejected calls from its host to lower production quotas in its meeting here on Thursday, but that did not prevent President Hugo Chavez from seeking to invigorate the 11-country group by appealing to oil-rich countries in Africa and South...",Business,News
2006,16-Jun-06,World Briefing | Americas: Venezuela: Chavez Orders Russian Warplanes,President Hugo Chavez said Venezuela would buy 24 Russian-made Sukhoi fighter jets this year and build a factory to produce Kalashnikov assault rifles. The SU-30 jets will replace a fleet of American F-16's because the United States has refused to...,World,News
2006,28-Jul-06,Deal Approved to Send Russian Jets and Helicopters to Venezuela,"Earlier this week, the United States renewed its calls for Moscow to reconsider the sale of the Su-30 fighter jets.",World,News
2006,2-Aug-06,"Venezuela in the East Village, and Growing",The newly expanded Caracas Arepa Bar boasts one of the most consistent kitchens of any cheap food spot in New York. ,Dining & Wine,Review
2006,3-Aug-06,World Briefing | Americas: Venezuela: Comedian To Take On Chavez. Seriously.,"Benjamin Rausseo, left, who goes by the stage name Count of Guacharo and is one of the country's best-known comedians, insists his planned attempt to run for president against Hugo Chavez in December is no joke, but it can still be hard to take him...",World,News
2006,5-Aug-06,World Briefing | Americas: Venezuela: Opposition Candidate Bows Out,"Teodoro Petkoff Malec, a newspaper editor and former Marxist guerrilla who has been seeking to oust Hugo Chavez in the presidential election in December, withdrew his candidacy, saying he hoped the move would be a step toward choosing a single...",New York and Region,News
2006,10-Aug-06,World Briefing | Americas: Venezuela: Opposition Parties Unite Behind A Candidate,"The main opposition parties agreed to back a single presidential candidate, Manuel Rosales, the governor of the oil-rich western state of Zulia, to challenge Hugo Chavez, the highly popular incumbent, in December. Mr. Rosales confirmed his candidacy...",World,News
2006,16-Aug-06,"For Venezuela, as Distaste for U.S. Grows, So Does Trade","While the two countries seem to be growing ever farther apart, trade between Venezuela and the United States is surging.",World; Washington,News
2006,17-Aug-06,World Business Briefing | Americas: Venezuela: Houston Refinery Sold,"The Lyondell Chemical Company said it paid about $2.1 billion for Citgo PetroleumÔês minority stake in a Houston refinery the two companies have jointly operated for 14 years. LyondellÔês announcement ends its troubled partnership with Citgo, the...",Business,News
2006,17-Aug-06,World Business Briefing | Americas: Venezuela: Chavez on Asia Tour,"President Hugo Chavez of Venezuela said he would leave this weekend for a two-week tour of China, Angola and Malaysia to sign a series of energy deals.",Business,News
2006,20-Aug-06,Venezuela Says It Seized 4 Spies; U.S. Embassy Denies Knowledge,President Hugo Chavez taunted the Bush administration for making Venezuela a target of high-level intelligence scrutiny.,World; Washington,News
2006,25-Aug-06,World Business Briefing | South America: Venezuela: More Oil Sales to China,"Venezuela, seeking to diversify its crude exports and ease reliance on the United States market, hopes to increase oil sales to China by six times, to 1 million barrels a day, in the next decade, President Hugo Chavez said during a visit to Beijing....",Business,News
2006,27-Aug-06,"U.S. and Venezuela at Odds, and Seized Cargo Is Just the Half of It",Venezuela seized diplomatic baggage amid growing distaste in its government for the United States' moves to step up spying operations.,World; Washington,News
2006,28-Aug-06,U.S. Officials Say Venezuela Knew Military Equipment Was in Seized Cargo,The seized baggage set off accusations from Caracas and Washington that international law governing diplomatic baggage had been violated.,World; Washington,News
2006,12-Sep-06,Uruguay at Center of Lively U.S.-Venezuela Chess Game,Uruguay finds itself one of the main fronts in the struggle between the United States and Venezuela for dominance in South America.,World,News
2006,17-Sep-06,An Uncertain Threat in Venezuela,Nikolas Kozloff apparently believes that Americans have much to fear from Venezuela.,Business; Washington; Books,News
2006,21-Sep-06,Iran Who? Venezuela Takes the Lead in a Battle of Anti-U.S. Sound Bites,Hugo Chavez's fiery speech elicited gasps and horrified giggles from the U.N. General Assembly after Iran's president received polite applause.,World; Washington,News
2006,22-Sep-06,"Iran, Venezuela and Bush"," To the Editor:     Re ''Iran's Leader Relishes 2nd Chance to Make Waves'' (front page, Sept. 21) and ''Iran Who? Venezuela Takes the Lead in a Battle of Anti-U.S. Sound Bites'' (news article, Sept. 21):  ",Opinion,Letter
2006,24-Sep-06,Aide Detained At Kennedy En Route To Venezuela,"Venezuela's foreign minister was detained at John F. Kennedy Airport yesterday while trying to fly home after the United Nations General Assembly meeting, prompting an apology from the State Department.      The minister, Nicolas Maduro, was...",Washington; New York and Region,News
2006,30-Sep-06,"Venezuela and Nigeria, Both OPEC Members, Say They Will Cut Their Oil Production",The voluntary cuts in production are in response to oil prices that have fallen nearly 20 percent from their peak two months ago.,Business,News
2006,17-Oct-06,Venezuela Slips in Voting for Seat on the Security Council,"Guatemala, backed by the United States, established a wide lead, a distinct blow to the ambitions of Hugo Chavez of Venezuela.",World,News
2006,19-Oct-06,U.S. Objections Lead Spain to End an Aircraft Deal With Venezuela,U.S. permission was needed because the aircraft that the aerospace company EADS-CASA would have sold to Venezuela use American technology.,World; Washington,News
2006,20-Oct-06,World Briefing | United Nations: A Pause For Venezuela-Guatemala Contest,The General Assembly suspended voting until Wednesday in the fight to choose the country to succeed Argentina on the Security Council next year after 35 rounds left Guatemala well in front of Venezuela but far short of the two-thirds majority of the...,World,News
2006,26-Oct-06,"After 41 U.N. Ballots, Venezuela-Guatemala Logjam Persists",Venezuela and Guatemala were unable to break the stalemate over which Latin American country should join the Security Council next year.,World; Washington,News
2006,28-Oct-06,Good-Will Ambassador? Venezuela Is Leery of U.S. Envoy,"William Brownfield, the United States ambassador to Venezuela, has one of the most challenging jobs of any American ambassador.",World; Washington,Biography
2006,29-Oct-06,Mining Ban Riles Venezuela Boomtown,"President Hugo Chavez has halted mining in a Venezuelan town, setting off protests and threatening the livelihoods of miners.",World,News
2006,29-Oct-06,U.S. Investigates Voting Machines' Venezuela Ties,The inquiry is focusing on the Venezuelan owners of a software company that last year took over a leading American manufacturer of electronic voting systems.,Technology; U.S.; Washington,News
2006,1-Nov-06,World Briefing | United Nations: It's Still Neither Guatemala Nor Venezuela,"Guatemala again led Venezuela as voting for an open Latin American seat on the Security Council resumed, but it still fell short of the required two-thirds majority of the 192 General Assembly members voting. The voting resumed with the 42nd ballot...",World,News
2006,2-Nov-06,"Ending Fight for U.N. Seat, Guatemala and Venezuela Back Panama",Venezuela and Guatemala agreed Wednesday to withdraw from their race for a seat on the United Nations Security Council and to support Panama as a candidate. Their agreement ended a drawn-out contest that had shown the limits of the efforts by the...,World,News
2006,9-Nov-06,Venezuela Groups Get U.S. Aid Amid Meddling Charges,"Since Hugo Chavez returned to power after 2002's coup, the U.S. has given millions of dollars to Venezuelan organizations, many of them critical of his government.",World; Washington,News
2006,16-Nov-06,World Briefing | Americas: Venezuela: Comedian Quits Presidential Race,"Benjamin Rausseo, a comedian running for president against the incumbent, Hugo Chavez, said he was withdrawing from the race after amusing voters for almost four months. Mr. Rausseo, who registered to run with an escort of goats, said, ''I have a...",World,News
2006,19-Nov-06,Killings and Threats Rattle Journalists in Venezuela,The recent killings of journalists in Venezuela have heightened concern over their ability to do their jobs without retribution.,World,News
2006,2-Dec-06,"As Crime Soars for Venezuela, Chavez Coasts","Homicides are up 67 percent since 1999, worrying voters, but President Hugo Chavez is sailing toward re-election.",World,News
2006,2-Dec-06,Election Campaign in Venezuela: Chavez vs. Rosales ,"Hugo Chavez seems set for victory in Venezuela's presidential election, due in part to a booming stock market.",,
2006,2-Dec-06,"As Crime Soars For Venezuela, Chavez Coasts","Homicides are up 67 percent since 1999, worrying voters, but President Hugo Chavez is sailing toward re-election.",World; Front Page,News
2006,4-Dec-06,"Venezuela Votes, and Chavez Wins Another 6-Year Term  ",Photo of supporters of Pres Hugo Chavez of Venezuela celebrating his re-election victory; he wins 61 percent of vote,Front Page,Caption
2006,4-Dec-06,"Chavez Wins Easily in Venezuela, Showing Wide Support","President Hugo Chavez was re-elected in a landslide, giving him a stronger mandate for his socialist-inspired policies.",World,News
2006,4-Dec-06,Chavez Wins Easily in Venezuela ,"President Hugo Chavez was re-elected in a landslide, giving him a stronger mandate for his socialist-inspired policies.",,
2006,4-Dec-06,Chavez Wins Easily in Venezuela,"President Hugo Chavez was re-elected in a landslide, giving him a stronger mandate for his socialist-inspired policies.",World,Slideshow
2006,7-Dec-06,Gas Smugglers Dodge the Law in Brazil and Venezuela,The price disparity for gas between Brazil and Venezuela has generated a booming contraband trade that is spurring fuel traffickers to use ingenious efforts at evasion.,World,News
2006,17-Dec-06,"In the Caribbean, A No-Frills Vibe","The Los Roques Archipelago is a virtually uninhabited slice of the southern Caribbean, with nearly limitless stretches of lonely sand and dazzlingly clear water.",Travel,News
2006,29-Dec-06,World Briefing | Americas: Venezuela: Chavez Won't Renew TV Station's License,"President Hugo Chavez said his government would not renew the license of RCTV, Radio Caracas Television, a private station known for opposing his policies. The press freedom group Reporters Without Borders expressed concern this month that not...",World,News
2007,1-Jan-07,Nonrenewal of TV License Stokes Debate in Venezuela,Critics say President Hugo Chavez is stifling dissent in Venezuela as he strengthens his control of the broadcasting industry.,World,News
2007,3-Jan-07,Venezuela: 16 Dead in Prison Melee,Violent deaths have plagued the country's prisons as the authorities struggle with crowding and a shortage of trained guards.,World,Brief
2007,3-Jan-07,World Briefing | Americas: Venezuela: 16 Dead In Prison Melee,"Sixteen inmates were killed as rival gangs clashed at a prison in Uribana, in western Lara State. Violent deaths have plagued the country's prisons, a system with about 19,000 inmates, as the authorities struggle with crowding and a shortage of...",World,News
2007,4-Jan-07,"Chavez Plans One Big Venezuela Leftist Party, Led by Him",The swiftness of President Hugo Chavez's attempt to create a large party tied so closely to his personal leadership has created concern.,World,News
2007,5-Jan-07,President of Venezuela Fires Deputy and Interior Minister,President Hugo Chavez cited grisly prison melees and an inability to prevent a rapid increase in killings as reasons for their removal.,World,News
2007,9-Jan-07,"Bolivia Leader Lets Venezuela Send Soldiers, Angering Foes",Opponents of President Evo Morales of Bolivia have stepped up criticism of the two countries' strengthening military relationship.,World,News
2007,10-Jan-07,Venezuela Inc.'s Hostile Takeover,"While the Bush administration needs to condemn any seizure of American assets, it should choose its words carefully so as not to play into Hugo Chavez's Yanqui-baiting game.",Opinion,Editorial
2007,13-Jan-07,Venezuela: Ahmadinejad Is on His Way,"President Mahmoud Ahmadinejad of Iran left Tehran for his second trip to Latin America in four months, starting with a visit to Venezuela today and talks with President Hugo Chavez, the most visible face of a leftist resurgence in Latin America. Mr....",World,Brief
2007,13-Jan-07,World Briefing | Americas: Venezuela: Ahmadinejad Is On His Way,"President Mahmoud Ahmadinejad of Iran left Tehran for his second trip to Latin America in four months, starting with a visit to Venezuela today and talks with President Hugo Chavez, the most visible face of a leftist resurgence in Latin America. Mr....",World,News
2007,14-Jan-07,"In Angel Falls, Venezuela, a Forest of Islands","At Angel Falls, water isn't the only natural wonder. The world's tallest waterfall is in an area of unusual geography.",Travel,News
2007,14-Jan-07,Iranian President Visits Venezuela to Strengthen Ties,"The two countries have signed agreements in recent months on oil exploration, housing and tractor and bicycle assembly.",World,News
2007,14-Jan-07,Mystical Venezuela ,"Angel Falls, Venezuela, the world's tallest waterfall, is in an area of unusual and unspoiled geography.",,
2007,16-Jan-07,Venezuela Ends Oil Negotiations,"Venezuela will end negotiations with foreign oil companies over how it will take a majority control of their operations along the Orinoco River, the country's oil minister, Rafael Ramirez, said on Monday.",Business Day,News
2007,19-Jan-07,Venezuela Wants Trade Group to Embrace Anti-Imperialism,The Mercosur trade group is facing a choice: emphasize economic integration or unite against imperialism.,World,News
2007,23-Jan-07,Venezuela: Quick Telecom Takeover Sought,"Venezuela's president, Hugo Chavez, said he wants an immediate state takeover of the telephone company, CA Nacional de Telefonos, and will not pay shareholders the market value. Speaking during a Sunday broadcast, Mr. Chavez said the price for...",Business Day,Brief
2007,24-Jan-07,"In Venezuela, Chavismo Is Dissected by Fans and Foes","The philosophical thrust inspiring Hugo Chavez has long been a challenge to define, in part because he absorbs ideas from so many places.",World,News
2007,27-Jan-07,Venezuela: U.S. Envoy Says Bags Are Packed,"Diplomatic relations with the United States appeared to become more fragile as William Brownfield, the American ambassador, responded to a threat of expulsion from President HugoChavez by saying, ""My bags are always packed and...",World,Brief
2007,27-Jan-07,World Briefing | Americas: Venezuela: U.S. Envoy Says Bags Are Packed,"Diplomatic relations with the United States appeared to become more fragile as William Brownfield, the American ambassador, responded to a threat of expulsion from President Hugo Chavez by saying, ''My bags are always packed and ready.'' Mr....",World; Washington,News
2007,28-Jan-07,"Correction: In Angel Falls, Venezuela, a Forest of Islands","The Explorer column on Jan. 14 about Angel Falls in Venezuela, misidentified the type of airplane flown by Jimmie Angel, who survived a crash landing there in the 1930s. It was a radial-engine monoplane _ã” not a turboprop, which was not developed...",Travel,Correction
2007,1-Feb-07,Legislature Grants Chavez Broad New Powers to Shape Venezuela,"Venezuela's legislature, in which every member is already a supporter of President Hugo Chavez, gave him the power to rule by decree for 18 months.",World,News
2007,2-Feb-07,"Venezuela: Chavez Attacks Bush, Continued","President Hugo Chavez said President Bush should be tried for _ã–war crimes_ãù in relation to the Iraq war. He showed further disdain for Mr. Bush, saying he was unfit to manage _ã–even a Little League baseball team,_ãù in reaction to Mr. Bush's...",World,Brief
2007,2-Feb-07,"World Briefing | Americas: Venezuela: Chavez Attacks Bush, Continued","President Hugo Chavez said President Bush should be tried for ''war crimes'' in relation to the Iraq war. He showed further disdain for Mr. Bush, saying he was unfit to manage ''even a Little League baseball team,'' in reaction to Mr. Bush's...",World; Washington,News
2007,13-Feb-07,Verizon Sells Venezuela Stake,Venezuela's government agreed to buy the stake held by Verizon Communications in Compania Anonima Nacional Telefonos de Venezuela for $572 million.,Business Day,News
2007,13-Feb-07,Verizon Sells Venezuela Stake,"Venezuela's government agreed Monday to buy the 28.5 percent stake held by Verizon Communications in Compania Anonima Nacional Telefonos de Venezuela for $572 million. The deal was signed by Jesse Chacon, Venezuela's telecommunications minister, and...",Business Day,Blog
2007,15-Feb-07,World Briefing | Americas: Venezuela: Opposition Paper And Humorist Fined,"A court ordered the opposition newspaper Tal Cual and Laureano Marquez, a humorist and one of its editorial writers, to pay fines for an editorial viewed as violating the privacy of President Hugo Chavez's 9-year-old daughter, Rosinê©s Chavez...",World,News
2007,22-Feb-07,The Most Popular Chavez in Venezuela?,"Endy Chavez returned to his hometown, Valencia, Venezuela, three days after making one of the most unbelievable catches in postseason baseball history. As you might guess, he received quite a reaction. ""I couldn't go in the streets,"" he said....",Sports,Blog
2007,23-Feb-07,Venezuela Rivals U.S. in Aid to Bolivia,"In a sign of Venezuela's growing influence, on many days its ambassador can be found at Bolivia's presidential palace huddled in meetings with President Evo Morales or top aides.",World,News
2007,25-Feb-07,Venezuela Spending on Arms Soars to World's Top Ranks,Venezuelan officials say the arms acquisitions are needed to circumvent a ban on sales of American weapons to the country and to counter potential military aggression from the United States.,World,News
2007,3-Mar-07,Venezuela and Iran Strengthen Ties With Caracas-to-Tehran Flight,Venezuela is also discussing a venture with Iran to produce remotely piloted aircraft that could be used for surveillance along the border with Colombia.,World,News
2007,7-Mar-07,Venezuela Disavows 1980s-Era Bonds,An international financial dispute between a group of Ohio investors and Venezuela's solicitor general is playing out in federal court.,Business Day,News
2007,7-Mar-07,Venezuela Disavows 1980s-Era Bonds,"The plot would seem to come right out of a novel in which the reader does not know whom to believe. A group of investors from Columbus, Ohio, spends $100 million in 2004 to buy zero-coupon bonds ' debt that pays interest at maturity ' from a...",Business Day,Blog
2007,18-Mar-07,Venezuela to Give Currency New Name and Numbers,"President Hugo Chavez says his renaming and redenominating the currency will instill confidence in it, in the wake of surging inflation.",World,News
